Rank,Model,Train_Time(s),Train_R2,Train_MAE,Train_RMSE,Train_MaxErr,Train_MAPE(%),Val_R2,Val_MAE,Val_RMSE,Val_MaxErr,Val_MAPE(%)
1,6-XGBoost,15.66,0.9822479507990801,0.014974485923745147,0.02335576675487999,0.20686037895696874,1.4570131134673612,0.916444656609114,0.02838177697313203,0.04516516900657291,0.4179738792389214,2.7516297035807087
2,8-MLP,115.97,0.9687256452047689,0.019213071575111196,0.03100016906873706,0.5260133468596715,1.8480151438445829,0.9139522811570994,0.027762293652307358,0.04583383597891837,0.4958727419618447,2.6519604838556763
3,4-RandomForest,8.25,0.9953315919687076,0.005574886138940493,0.011977172011828076,0.22891987512687084,0.5283407530591127,0.8785526312137881,0.03173321059314899,0.054451591847386474,0.5016632633626907,3.0464659602993946
4,5-GradientBoosting,46.28,0.9551691236280511,0.02540260869399145,0.03711577192820616,0.3110323487963027,2.4657837423926083,0.8759635775253753,0.03675256753161017,0.055028939244012504,0.4653442866360349,3.5658861057587887
5,7-LightGBM,12.7,0.9395962184954785,0.029833509072251446,0.04308260419157532,0.3730242473580281,2.8988055328975775,0.8712527431401532,0.037383398168517296,0.05606418558594348,0.4528790300088881,3.6528672779498095
6,3-KNN,0.35,1.0,0.0,0.0,0.0,0.0,0.36735059870462916,0.07683031754412661,0.12427909331776325,1.3756299667505236,7.595161376522386
7,1-LinearRegression,0.03,0.19818024483162833,0.1138489758633935,0.15696696425811107,1.0556465013873582,11.007514307971622,0.14959837212046234,0.10481574161764218,0.14408825006163048,0.9661823578758997,10.150822943226538
8,2-Ridge,0.01,0.19818024477842688,0.11384887394939028,0.15696696426331852,1.055646062575909,11.00750082933757,0.1495983224180023,0.10481564138111439,0.14408825427231173,0.9661806157444686,10.150810863050395
